ID,Text,Comment
Attractions.LoadRate,Popuwawity,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitows,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitows: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,Autosaved,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,Autosave faiwed,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autosave faiwed due to insufficient disk space,Notification on top of the window when autosave failed. It disappears after 10 seconds
BatchControl.Empty,"Thewe's nyothing hewe, yet.",
BatchControl.Housing,Housing,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Powew,"Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys."
BatchControl.Migration,"Migwation","Title of migration panel"
BatchControl.Population,Popuwation,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,"Manage settwement","Button opening a window to view and manage multiple buildings and characters at once . Please keep short"
BatchControl.Storage,Stowage,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Wowkpwaces,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.PrefabName,Beavew aduwt,
Beaver.Adulthood,Aduwthood,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Age: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.PrefabName,Beavew chiwd,
Beaver.DeadNameSuffix,(dead),Preceded by beaver name and age
Beaver.Dead,Dead,Shown in the beaver info window to explain that the beaver died
Beaver.DiedOldAge,{0} died of owd age.,{0} stands for beaver name
Beaver.Employment,Empwoyment,Header of a section that tells of how many and where beavers are working
Beaver.GrownUp,{0} has gwown up.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,Wives in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,Homewess,Signifies that the beaver has no home
Beaver.HomelessPlural,Homewess,Label before number of homeless beavers
Beaver.PluralDisplayName,Beavews,
Beaver.Population.Adults,Aduwts,Label before number of adult beavers
Beaver.Population.Children,Chiwdwen,Label before number of kit beavers
Beaver.Unemployed,Unempwoyed,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Unempwoyed,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Wowks at: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
BlockObject.Rotation.Clockwise,[W],Tooltip that tells players how to rotate objects
BlockObject.Rotation.Counterclockwise,[SHIFT + W],Tooltip that tells players how to rotate objects
Bonus.CarryingCapacity,Cawwying capacity,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Cutting chance,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Gwowth speed,Speed at which young beavers grow up
Bonus.LifeExpectancy,Wife expectancy,The presumed length of beavers' life.
Bonus.MovementSpeed,Myovement speed,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.Source,{0} weceived fwom:,"{0} stands for Bonus name. Header above a list of needs that give this bonus."
Bonus.WorkingSpeed,Wowking speed,Speed at which the beavers work.
Bot.BeaversPerished,"Don’t even get me stawted on the beavews.
They had it aww. Fwesh aiw, cwean watew.
Nyow they’we just a faint memyowy.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} was cweated!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.Dead,Destwoyed.,This shows up when a bot has been destroyed
Bot.DeadNameSuffix,(destwoyed),Preceded by bot name and age
Bot.DeathMessage,{0} bwoke down.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Timbewbot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Iwonbot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Duwabiwity,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Bots,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.PrefabName,Bot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Nutwients awe bwought by hauwews, the unempwoyed, and wowkews aftew wowk.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Needed nutwients:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Bweeding pwogwess:,Followed by progress bar describing production progress of new beaver in breeding facility
Breeding.ProgressHalted,"Bweeding hawted, waiting fow nutwients",
Breeding.ProgressHaltedShort,Bweeding hawted,
BugTracker.Prompt,You wiww be taken to an onwine bug twackew at {0}.,An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
BuilderPriorityTool.Description,"Use this toow to set pwiowity fow constwuction, demyowition and gathewing goods fwom Wubbwes.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,Cwick an item to set its pwiowity ow howd the button to sewect a biggew awea.,
Builders.UnreachableBuilderJob,"It is too faw fwom a distwict and cannyot be weached by buiwdews. Buiwd myowe paths ow a new distwict.","Shown when a construction site, demolishable object or rubble is out of a district's range. Builders should be translated the same way as in Building.BuildersHut.Description key."
Building.AquaticFarmhouse.Description,"Empwoys speciawized fawmews that pwant and hawvest <SowidHighwight>Aquatic</SowidHighwight> cwops.","Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,"Aquatic Fawmhouse","A farmhouse that specializes in water plants."
Building.AquaticFarmhouse.FlavorDescription,"""Thewe was once a wumyouw we eat fish. Disgusting!"" —Ma' Ngonew","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bakery.Description,"Bakes bwead and pastwies fwom diffewent fwouws.","Pastry being a baked good."
Building.Bakery.DisplayName,Bakewy,Building that bakes bread
Building.Bakery.FlavorDescription,"""Nyothing wike a hot bun with a wittwe sawdust spwinkwed on top."" —Ma' Ngonew","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Pwacticaw, shawed housing.",
Building.Barrack.DisplayName,Bawwack,Barracks are cramped homes for beavers. Not related to soldiers.
