ID,Text,Comment
Settings.Language.Name,正體中文 (Traditional Chinese),A really traditional Chinese language
Attractions.LoadRate,人氣,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,遊客,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,遊客上限：{0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,已自動儲存,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,自動儲存失敗,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,由於硬碟空間不足，自動儲存失敗,Notification on top of the window when autosave failed. It disappears after 10 seconds
BatchControl.Empty,這裡還什麽都沒有。,
BatchControl.Housing,住宅,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,能量,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,遷徙,Title of migration panel
BatchControl.Population,數量,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,管理定居地,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,倉儲,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,工作場所,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.PrefabName,成年海貍,
Beaver.Adulthood,成年,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,年齡：{0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.PrefabName,幼年海貍,
Beaver.DeadNameSuffix,（去世）,Preceded by beaver name and age
Beaver.Dead,去世,Shown in the beaver info window to explain that the beaver died
Beaver.DiedOldAge,{0}因年老而去世。,{0} stands for beaver name
Beaver.Employment,勞動,Header of a section that tells of how many and where beavers are working
Beaver.GrownUp,{0}已成年。,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,住在：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,無家可歸,Signifies that the beaver has no home
Beaver.HomelessPlural,無家可歸,Label before number of homeless beavers
Beaver.PluralDisplayName,海貍,
Beaver.Population.Adults,成年,Label before number of adult beavers
Beaver.Population.Children,幼年,Label before number of kit beavers
Beaver.Unemployed,無業,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,無業,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,工作於：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
BlockObject.Rotation.Clockwise,[R],Tooltip that tells players how to rotate objects
BlockObject.Rotation.Counterclockwise,[SHIFT + R],Tooltip that tells players how to rotate objects
Bonus.CarryingCapacity,承載能力,How much stuff a unit can carry
Bonus.CuttingSuccessChance,砍伐機率,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,成長速度,Speed at which young beavers grow up
Bonus.LifeExpectancy,預期壽命,The presumed length of beavers' life.
Bonus.MovementSpeed,移動速度,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.Source,{0}加成：,"""{0} stands for Bonus name. Header above a list of needs that give this bonus."" "
Bonus.WorkingSpeed,工作速度,Speed at which the beavers work.
Bot.BeaversPerished,"別跟我提什麽海貍的事了
……他們曾擁有一切。新鮮的空氣，乾凈的水。
現在他們只是褪色的記憶罷了。","Text for a game over state, when all beavers have perished."
Bot.Created,{0}完成了！,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.Dead,損壞,This shows up when a bot has been destroyed
Bot.DeadNameSuffix,（損壞）,Preceded by bot name and age
Bot.DeathMessage,{0}被摧毀,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,木機器人 {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,鐵機器人 {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,耐久度,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,機器人,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.PrefabName,機器人,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,養分是由搬運工、無業海貍和下班後的勞工帶來的。,"Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,所需養分：,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,繁殖進度：,Followed by progress bar describing production progress of new beaver in breeding facility
Breeding.ProgressHalted,繁殖停止，正在等待養分,
Breeding.ProgressHaltedShort,繁殖停止,
BugTracker.Prompt,你即將前往線上bug追蹤器，網址為{0},An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
BuilderPriorityTool.Description,使用此工具設定建造、拆除和從瓦礫堆中收集物品的優先級。,Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,點擊一項以設定其優先級或按住按鈕以選擇更大的區域。,
Builders.UnreachableBuilderJob,它離區域太遠了，建築工無法到達。建造更多道路或創建新的區域。,"Shown when a construction site, demolishable object or rubble is out of a district's range. Builders should be translated the same way as in Building.BuildersHut.Description key."
Building.AquaticFarmhouse.Description,僱傭種植並收割<SolidHighlight>水生</SolidHighlight>作物的農民。,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,水生農舍,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,“以前竟然謠傳我們吃魚。真噁心！”——海貍阿嬤,"Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bakery.Description,使用不同粉末烤制麵包和糕點。,Pastry being a baked good.
Building.Bakery.DisplayName,麵包工坊,Building that bakes bread
Building.Bakery.FlavorDescription,“撒上鋸末的熱麵包美味至極。”——海貍阿嬤,"Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,實用的共享住宅。,
Building.Barrack.DisplayName,營房,Barracks are cramped homes for beavers. Not related to soldiers.
