ID,Text,Comment
Attractions.Visitors,Visitors,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitors: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,Autosaved,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,Autosave failed,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autosave failed due to insufficient disk space,Notification on top of the window when autosave failed. It disappears after 10 seconds
Beaver.Adulthood,Adulthood,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Age: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.DeadNameSuffix,(dead),Preceded by beaver name and age
Beaver.Dead,Dead,Shown in the beaver info window to explain that the beaver died
Beaver.DiedOldAge,{0} died of old age.,{0} stands for beaver name
Beaver.Employment,Employment,Header of a section that tells of how many and where beavers are working
Beaver.GrownUp,{0} has grown up.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,Lives in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,Homeless,Signifies that the beaver has no home
Beaver.HomelessPlural,Homeless,Label before number of homeless beavers
Beaver.Population.Adults,Adults,Label before number of adult beavers
Beaver.Population.Beavers,Beavers,Tooltip of a section that shows the number of beavers
Beaver.Population.Children,Children,Label before number of kit beavers
Beaver.Population.Employment,Employment (employed / adults),Tooltip of a section that shows employment statistics
Beaver.Population.Homeless,Homeless,Label before number of homeless beavers
Beaver.Population.Housing,Housing,Tooltip of a section that shows available spots in houses
Beaver.Population.Population,Population,Tooltip of a section that shows the number of beavers and other creatures
Beaver.Unemployed,Unemployed,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Unemployed,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Works at: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
BlockObject.Rotation.Clockwise,[R],Tooltip that tells players how to rotate objects
BlockObject.Rotation.Counterclockwise,[SHIFT + R],Tooltip that tells players how to rotate objects
Bonus.BuildingSpeed,Building speed,Speed at which beavers build.
Bonus.CarryingSpeed,Carrying speed,Speed at which beavers carry items
Bonus.Fertility,Fertility,Speed at which beavers mate and produce babies
Bonus.GrowthSpeed,Growth speed,Speed at which young beavers grow up
Bonus.LifeExpectancy,Life expectancy,The presumed length of beavers' life.
Bonus.Strength,Strength,How much stuff can the beaver carry.
Bonus.WalkingSpeed,Walking speed,Speed at which the beavers walk.
Bonus.WorkingSpeed,Working speed,Speed at which the beavers work.
Breeding.NutrientsNeeded,Needed nutrients:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Breeding progress:,Followed by progress bar describing production progress of new beaver in breeding facility
Breeding.ProgressHalted,"Breeding halted, waiting for nutrients",
Breeding.ProgressHaltedShort,Breeding halted,
BugTracker.Prompt,You will be taken to an online bug tracker at {0}.,An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
Building.AquaticFarmhouse.Description,"Employs specialized farmers that plant and harvest <SolidHighlight>Aquatic</SolidHighlight> crops.","Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,"Aquatic Farmhouse","A farmhouse that specializes in water plants."
Building.AquaticFarmhouse.FlavorDescription,"""There was once a rumour we eat fish. Disgusting!"" —Ma' Ngonel","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bakery.Description,"Bakes bread and pastries from different flours.","Pastry being a baked good."
Building.Bakery.DisplayName,Bakery,Building that bakes bread
Building.Bakery.FlavorDescription,"""Nothing like a hot bun with a little sawdust sprinkled on top."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Practical, shared housing.",
Building.Barrack.DisplayName,Barrack,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,"""Two Folktails walk into a barrack."" —Iron Teeth joke","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.Barrier.Description,A natural barrier blocking water. Can be demolished.,Demolished meaning removed by a worker.
Building.Barrier.DisplayName,Barrier,Not a dam since that's another building in game but if not possible it could be called a Natural Dam.
Building.Barrier.FlavorDescription,It's hard to believe there were simpler times when mud with branches constituted a dam.,
Building.BeaverStatue.Description.Folktails,"A statue of a well-fed beaver.",
Building.BeaverStatue.Description.IronTeeth,"A statue of a hard-working beaver.",
Building.BeaverStatue.DisplayName,Beaver Statue,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,"Making you proud in the good years and hungry in the bad.","The statue shows a beaver with a full belly so it can make one hungry when looking at it."
Building.BeaverStatue.FlavorDescription.IronTeeth,"A design with a sickle was deemed too Folktails-like.","This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName)."
Building.Beehive.Description,Boosts the growth of nearby crops.,
Building.Beehive.DisplayName,Beehive,
Building.Beehive.FlavorDescription,"""You get used to the buzzing eventually.""  —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bench.DisplayName,Bench,
Building.Bench.FlavorDescription,"Every now and then, some vandal will eat on the public property.",
Building.BreedingPod.Description,"The Iron Teeth's preferred, and only, way to reproduce.",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Breeding Pod,
Building.BreedingPod.FlavorDescription,"""Kits are our future. We need twelve more by next month."" —Ol' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,Employs additional builders. Extend its range by building paths.,
Building.BuildersHut.DisplayName,Builders' Hut,
Building.BuildersHut.FlavorDescription,Beaverome wasn't built in a day. Legend says it was six hours.,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timber-tech for the greater good of all beavers.
Building.Campfire.Description,A place for beavers to relax and socialize in the evening.,
Building.Campfire.DisplayName,Campfire,
Building.Campfire.FlavorDescription,"Sometimes, fire and wood are a good match.",
Building.Carousel.Description,A wooden merry-go-round for beavers of all ages.,
Building.Carousel.DisplayName,Carousel,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"""Where do you think you're going, kit? These branches won't peel themselves."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.CompactWaterWheel.DisplayName,Compact Water Wheel,"A water wheel that's smaller than other versions."
Building.CompactWaterWheel.Description,"A compact generator transforming flow of water into energy.",
Building.CompactWaterWheel.FlavorDescription,"Yes, you can reinvent the water wheel.","A play on 'can't reinvent the wheel'"
Building.Dam.Description,Blocks water but allows some to pass through a spillway at the top.,Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Dam,
Building.Dam.FlavorDescription,"As everyone knows, a civilization's fundaments are built underwater.",
Building.DeepMechanicalWaterPump.DisplayName,Deep Mechanical Water Pump,
Building.DeepWaterPump.Description,Pumps and filters water for beavers to drink.,
Building.DeepWaterPump.DisplayName,Deep Water Pump,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"""The water comes from the land down under, where cattails grow and beaver's a plumber."" –Iron Teeth work song","Adapted from Men at Work's famous 'Down Under' song ; Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.DistributionPost.Description,Distributes goods to other districts.,
Building.DistributionPost.DisplayName,Distribution Post,A building which employs beavers who deliver goods to other districts.
Building.DistributionPost.FlavorDescription,"""Send some potatoes to the twelfth district, their kits are too thin."" —Ma' Ngonel","""Hunger Games"" reference - 12th district was a poor district which Katniss Everdeen originated from."
Building.DistrictCenter.Description,"Establishes a district with its own population, resources and an isolated path network. Employs builders.",
Building.DistrictCenter.DisplayName,District Center,
Building.DistrictCenter.FlavorDescription.Folktails,"""Comfort, food, and sturdy wood."" —Folktails motto",The motto must be the same as in Faction.Folktails.Description
Building.DistrictCenter.FlavorDescription.IronTeeth,"""Work hard, work hard."" —Iron Teeth motto",The motto must be the same as in Faction.IronTeeth.Description
Building.DistrictGate.Description,Separates districts.,
Building.DistrictGate.DisplayName,District Gate,"A gate which is placed between two districts, looks similar to Chinatown gates."
Building.DistrictGate.FlavorDescription,You must gather your supplies before venturing forth.,"This is an adapted famous line from Baldur's Gate (""You must gather your party before venturing forth"")."
Building.DoubleFloodgate.DisplayName,Double Floodgate,
Building.DoubleFloodgate.FlavorDescription,How do you improve upon perfection? You make it taller.,
Building.DoubleLodge.Description,A bigger lodge that fits more beavers.,
Building.DoubleLodge.DisplayName,Double Lodge,This lodge fits twice as many beavers
Building.DoubleLodge.FlavorDescription,"The more the merrier.","This lodge fits twice as many beavers as a standard one"
Building.DoublePlatform.DisplayName,Double Platform,Double meaning twice as tall.
Building.DoublePlatform.FlavorDescription,"Double the height, same trademark sturdiness.",
Building.DropOffPoint.Description,Receives goods from other districts.,
Building.DropOffPoint.DisplayName,Drop-off Point,A small building which acts as a place where beavers from other districts can bring their goods.
Building.DropOffPoint.FlavorDescription,"""Have the cookies arrived yet? No? Okay, I'll take the planks instead."" —Pina","Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.Dynamite.Armed,Armed!,Dynamite is set to detonate
Building.Dynamite.BeaverDeathMessage,{0} was killed by an explosion.,{0} stands for beaver name
Building.Dynamite.CantDetonate,"Can't detonate, it's too low",Message shows if dynamite is built on the lowest level of the map
Building.Dynamite.Description,Destroys the block of terrain underneath it and triggers adjacent dynamites.,Triggers can be changed to detonates
Building.Dynamite.Detonate,Detonate,A button.
Building.Dynamite.DisplayName,Dynamite,There's a resource called Explosives so they need to have different names
Building.Dynamite.FlavorDescription,"To adapt to the post-apocalyptic world, beavers needed some extreme measures.",
Building.EfficientMine.Description,"Employs miners who extract scrap metal from underground ruins. Innovative design maximizes mining speed.",
Building.EfficientMine.DisplayName,Efficient Mine,"An extracting facility which can be placed on underground ruins."
Building.Engine.Description,Burns fuel to create power.,
Building.Engine.DisplayName,Engine,Not a steam engine;it might show up later as a different building
Building.Engine.FlavorDescription,"As great as this invention is, it became a splinter in the side of beaver nations other than Iron Teeth.","Iron Teeth is one of the playable factions, with the Engine being one of their unique buildings."
Building.ExplosivesFactory.Description,Manufactures explosives from paper.,Explosives and paper being resource names.
Building.ExplosivesFactory.DisplayName,Explosives Factory,Explosives is a resource name
Building.ExplosivesFactory.FlavorDescription,As if building the whole settlement out of wood wasn't enough.,
Building.Farmhouse.Description,Employs farmers that plant and harvest crops.,
Building.Farmhouse.DisplayName,Farmhouse,
Building.Farmhouse.FlavorDescription,Agriculture became one of the pillars on which the beaver society stands today.,
Building.FlameOfProgress.DisplayName,Flame of Progress,Name of a monument
Building.FlameOfProgress.FlavorDescription,"After one too many wooden lodges went up in smoke, beavers swore to take care of the burning issue.",
Building.Floodgate.Description,Blocks water up to an adjustable height.,
Building.Floodgate.DisplayName,Floodgate,
Building.Floodgate.Height,Height: {0},
Building.Floodgate.Synchronize,Synchronize with adjacent floodgates,
