ID,Text,Comment
Settings.Language.Name,Türkçe (Turkish),A really uwu language
Attractions.Visitors,Ziyaretçiler,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Ziyaretçiler: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,Otomatik Kayıt,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,Otomatik Kayıt Hatalı,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Yetersiz disk alanı nedeniyle otomatik kaydetme başarısız oldu,Notification on top of the window when autosave failed. It disappears after 10 seconds
Beaver.Adulthood,Erişkinlik,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Yaş: {0},"{0} stands for number of days, for example 'Age: 5'".
Beaver.DeadNameSuffix,(ölü),Preceded by beaver name and age
Beaver.Dead,ölü,Shown in the beaver info window to explain that the beaver died
Beaver.DiedOldAge,{0} yaşlandığı için öldü.,{0} stands for beaver name
Beaver.Employment,Hizmet,Header of a section that tells of how many and where beavers are working
Beaver.GrownUp,{0} artık yetişkin.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,Barınma: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,Evsiz,Signifies that the beaver has no home
Beaver.HomelessPlural,Evsizler,Label before number of homeless beavers
Beaver.Population.Adults,Yetişkin,Label before number of adult beavers
Beaver.Population.Children,Çocuk,Label before number of kit beavers
Beaver.Population.Population,Çocuk,Label before number of kit beavers
Beaver.Unemployed,İşsiz,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,İşsizler,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Çalışma Yeri: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
BlockObject.Rotation.Clockwise,[R],Tooltip that tells players how to rotate objects
BlockObject.Rotation.Counterclockwise,[SHIFT + R],Tooltip that tells players how to rotate objects
Bonus.BuildingSpeed,İnşa Hızı,Speed at which beavers build.
Bonus.CarryingSpeed,Taşıma hızı,Speed at which beavers carry items
Bonus.Fertility,Doğurganlık,Speed at which beavers mate and produce babies
Bonus.GrowthSpeed,Büyüme hızı,Speed at which young beavers grow up
Bonus.LifeExpectancy,Tahmini ömür,The presumed length of beavers' life.
Bonus.Strength,Güç,How much stuff can the beaver carry.
Bonus.WalkingSpeed,Yürüme hızı,Speed at which the beavers walk.
Bonus.WorkingSpeed,Çalışma hızı,Speed at which the beavers work.
Breeding.NutrientsNeeded,Gerekli besinler:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Üreme ilerlemesi:,Followed by progress bar describing production progress of new beaver in breeding facility
Breeding.ProgressHalted,"Üreme durduruldu, besin bekleniyor",
Breeding.ProgressHaltedShort,Üreme durduruldu,
BugTracker.Prompt,{0} adresine yönlendirileceksiniz.,An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
Building.AquaticFarmhouse.Description,"<SolidHighlight>Sulak</SolidHighlight> mahsulleri eken ve hasat eden uzman çiftçiler istihdam eder.","Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Su çiftliçi,"A farmhouse that specializes in water plants."
Building.AquaticFarmhouse.FlavorDescription,"""Bir zamanlar balık yediğimiz söylentisi vardı. İğrenç!"" —Ma' Ngonel","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bakery.Description,Farklı unlardan ekmek ve hamur işleri pişirir.,Pastry being a baked good.
Building.Bakery.DisplayName,Fırın,Building that bakes bread
Building.Bakery.FlavorDescription,"""Üzerine biraz talaş serpilmiş sıcak bir çörek gibisi yoktur."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Pratik, paylaşımlı konut.",
Building.Barrack.DisplayName,Barınak,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,"""İki Dişler bir Barınağa girmiş."" —Iron Teeth joke","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.Barrier.Description,Suyu engelleyen doğal bir bariyer. Yıkılabilir.,Demolished meaning removed by a worker.
Building.Barrier.DisplayName,Bariyer,Not a dam since that's another building in game but if not possible it could be called a Natural Dam.
Building.Barrier.FlavorDescription,Çamur ve dalların oluşturduğu bir baraj.,
Building.BeaverStatue.Description.Folktails,"Besili bir kunduz heykeli.",
Building.BeaverStatue.Description.IronTeeth,"Çalışkan bir kunduz heykeli",
Building.BeaverStatue.DisplayName,Kunduz Heykeli,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,"Güzel günler gurulu, köü günlerde aç hissetiriyor.","The statue shows a beaver with a full belly so it can make one hungry when looking at it."
Building.BeaverStatue.FlavorDescription.IronTeeth,"Oraklı bir dişlek gibi tasarlandı.","This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName)."
Building.Beehive.Description,Yakın mahsüllerin büyüme hızını arttırır.,
Building.Beehive.DisplayName,Arı kovanı,
Building.Beehive.FlavorDescription,"""Önünde sonunda alışırsın.""  —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bench.DisplayName,Bank,
Building.Bench.FlavorDescription,"Arada bir, bazı vandallar kamu malını yiyecek.",
Building.BreedingPod.Description,"Demir Dişlerin üremesinin tercih edilen tek yolu",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Üreme Kapsülü,
