ID,Text,Comment
Settings.Language.Name,wanguage (UWU),A really uwu language
Attractions.Visitors,Visitows ,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitows: {0} ,{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,Autosaved ,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,Autosave faiwed ,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autosave faiwed due to insufficient d-disk space ,Notification on top of the window when autosave failed. It disappears after 10 seconds
Beaver.Adulthood,Aduwthood ,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Age: {0} ,"{0} stands for number of days, for example 'Age: 5'."
Beaver.DeadNameSuffix,(dead) ,Preceded by beaver name and age
Beaver.Dead,Dead ,Shown in the beaver info window to explain that the beaver died
Beaver.DiedOldAge,{0} died of owd age. ,{0} stands for beaver name
Beaver.Employment,Empwoyment ,Header of a section that tells of how many and where beavers are working
Beaver.GrownUp,{0} has gwown up. ,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,Wives in: {0} ,{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,Homewess ,Signifies that the beaver has no home
Beaver.HomelessPlural,Homewess ,Label before number of homeless beavers
Beaver.Population.Adults,Aduwts ,Label before number of adult beavers
Beaver.Population.Children,Chiwdwen ,Label before number of kit beavers
Beaver.Population.Beavers,Beavews,Tooltip of a section that shows the number of beavers
Beaver.Population.Employment,Empwoyment (empwoyed / aduwts),Tooltip of a section that shows employment statistics
Beaver.Population.Homeless,Homewess,Label before number of homeless beavers
Beaver.Population.Housing,Housing,Tooltip of a section that shows available spots in houses
Beaver.Population.Population,Popuwation,Tooltip of a section that shows the number of beavers and other creatures
Beaver.Unemployed,Unempwoyed ,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Unempwoyed ,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Wowks at: {0} ,{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
BlockObject.Rotation.Clockwise,[W] ,Tooltip that tells players how to rotate objects
BlockObject.Rotation.Counterclockwise,[SHIFt + W] ,Tooltip that tells players how to rotate objects
Bonus.BuildingSpeed,Buiwding speed ,Speed at which beavers build.
Bonus.CarryingSpeed,Cawwying speed ,Speed at which beavers carry items
Bonus.Fertility,Fewtiwity ,Speed at which beavers mate and produce babies
Bonus.GrowthSpeed,Gwowf s-speed ,Speed at which young beavers grow up
Bonus.LifeExpectancy,Wife expectancy ,The presumed length of beavers' life.
Bonus.Strength,Stwengf ,How much stuff can the beaver carry.
Bonus.WalkingSpeed,Wawking speed ,Speed at which the beavers walk.
Bonus.WorkingSpeed,W-Wowking speed ,Speed at which the beavers work.
Breeding.NutrientsNeeded,Needed nutwients: ,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Bweeding pwogwess: ,Followed by progress bar describing production progress of new beaver in breeding facility
Breeding.ProgressHalted,"Bweeding hawted, waiting fow nutwients ",
Breeding.ProgressHaltedShort,Bweeding h-hawted ,
BugTracker.Prompt,You wiww be t-taken to an onwine bug t-twackew at {0}. ,An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
Building.AquaticFarmhouse.Description,Empwoys speciawized fawmews that pwant a-and hawvest <SolidHighlight>Aquatic</SolidHighlight> cwops. ,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Aquatic Fawmhouse ,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,thewe w-was once a wumouw we eat fish. Disgusting!,"Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bakery.Description,Bakes bwead a-and pastwies fwom diffewent f-fwouws. ,Pastry being a baked good.
Building.Bakery.DisplayName,B-Bakewy ,Building that bakes bread
Building.Bakery.FlavorDescription,Nothing wike a hot bun wif a widdle sawdust spwinkwed on top.,"Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Pwacticaw, shawed housing. ",
Building.Barrack.DisplayName,Bawwack ,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,Two Fowktaiws wawk into a bawwack.,"Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.Barrier.Description,A natuwaw bawwiew bwocking watew. Can be demowished. ,Demolished meaning removed by a worker.
Building.Barrier.DisplayName,Bawwiew ,Not a dam since that's another building in game but if not possible it could be called a Natural Dam.
Building.Barrier.FlavorDescription,It's hawd to bewieve thewe wewe simpwew times when mud wif bwanches constituted a dam. ,
Building.BeaverStatue.Description.Folktails,A-A statue of a weww-fed beavew. ,
Building.BeaverStatue.Description.IronTeeth,A statue of a hawd-wowking beavew. ,
Building.BeaverStatue.DisplayName,Beavew Statue ,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,Making you pwoud in the good yeaws and hungwy in the bad. ,The statue shows a beaver with a full belly so it can make one hungry when looking at it.
Building.BeaverStatue.FlavorDescription.IronTeeth,A design w-wif a sickwe was deemed too Fowktaiws-wike. ,This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName).
Building.Beehive.Description,B-Boosts the gwowf of neawby cwops. ,
Building.Beehive.DisplayName,B-Beehive ,
Building.Beehive.FlavorDescription,You get used to the buzzing eventuawwy.,"Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bench.DisplayName,B-Bench ,
Building.Bench.FlavorDescription,"Evewy now and t-then, some vandaw wiww e-eat on the pubwic pwopewty. ",
Building.BreedingPod.Description,"the Iwon Teeth's pwefewwed, and onwy, way to wepwoduce. ",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Bweeding Pod ,
Building.BreedingPod.FlavorDescription,Kits a-awe ouw f-futuwe. We need twewve mowe by next month.,"Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,Empwoys additionaw buiwdews. Extend its wange b-by buiwding paths. ,
Building.BuildersHut.DisplayName,Buiwdews' Hut ,
Building.BuildersHut.FlavorDescription,Beavewome wasn't buiwt in a day. Wegend says it was six houws. ,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timber-tech for the greater good of all beavers.
Building.Campfire.Description,A pwace f-fow beavews to wewax and sociawize in the evening. ,
Building.Campfire.DisplayName,C-Campfiwe ,
Building.Campfire.FlavorDescription,"Sometimes, f-fiwe a-and wood awe a good match. ",
Building.Carousel.Description,A wooden mewwy-go-wound fow beavews of aww ages. ,
Building.Carousel.DisplayName,Cawousew ,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"Whewe do you think you'we going, kit? these bwanches won't peew themsewves.","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.CompactWaterWheel.DisplayName,Compact Watew Wheew ,A water wheel that's smaller than other versions.
Building.CompactWaterWheel.Description,A compact genewatow twansfowming fwow of watew into enewgy. ,
Building.CompactWaterWheel.FlavorDescription,"Yes, you can weinvent the watew wheew. ",A play on 'can't reinvent the wheel'
Building.Dam.Description,Bwocks watew but awwows some to pass thwough a s-spiwwway a-at the t-top. ,Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Dam ,
Building.Dam.FlavorDescription,"As evewyone knows, a civiwization's fundaments a-awe b-buiwt undewwatew. ",
Building.DeepMechanicalWaterPump.DisplayName,Deep Mechanicaw Watew Pump ,
Building.DeepWaterPump.Description,Pumps and fiwtews watew fow beavews to dwink. ,
Building.DeepWaterPump.DisplayName,Deep Watew Pump ,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"the watew comes fwom the wand down undew, whewe c-caddails gwow and b-beavew's a pwumbew.","Adapted from Men at Work's famous 'Down Under' song ; Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.DistributionPost.Description,Distwibutes g-goods t-to othew distwicts. ,
Building.DistributionPost.DisplayName,Distwibution Post ,A building which employs beavers who deliver goods to other districts.
Building.DistributionPost.FlavorDescription,"Send some potatoes to the twewff distwict, theiw kits awe too t-thin.","""Hunger Games"" reference - 12th district was a poor district which Katniss Everdeen originated from."
Building.DistrictCenter.Description,"Estabwishes a distwict w-wif its own popuwation, wesouwces and an isowated paf netwowk. Empwoys buiwdews. ",
Building.DistrictCenter.DisplayName,D-Distwict Centew ,
Building.DistrictCenter.FlavorDescription.Folktails,"Comfowt, food, and stuwdy wood.",The motto must be the same as in Faction.Folktails.Description
Building.DistrictCenter.FlavorDescription.IronTeeth,"Wowk hawd, w-wowk hawd.",The motto must be the same as in Faction.IronTeeth.Description
Building.DistrictGate.Description,Sepawates distwicts. ,
Building.DistrictGate.DisplayName,Distwict Gate ,"A gate which is placed between two districts, looks similar to Chinatown gates."
Building.DistrictGate.FlavorDescription,Y-You must gathew youw suppwies befowe ventuwing fowth. ,"This is an adapted famous line from Baldur's Gate (""You must gather your party before venturing forth"")."
Building.DoubleFloodgate.DisplayName,D-Doubwe Fwoodgate ,
Building.DoubleFloodgate.FlavorDescription,H-How do y-you impwove upon pewfection? You make it tawwew. ,
Building.DoubleLodge.Description,A biggew wodge that fits mowe beavews. ,
